0,0
70,-71
97,-90
176,-161
256,-233
346,-306
413,-375
502,-437
572,-494
661,-546
734,-599
813,-651
910,-695
983,-737
1065,-774
1147,-813
1226,-841
1310,-869
1396,-893
1482,-913
1566,-935
1642,-944
1727,-956
1810,-959
1906,-958
1982,-959
2063,-952
2154,-940
2231,-933
2312,-913
2389,-891
2468,-872
2541,-849
2624,-820
2691,-792
